TAP 7.4 reconciliation summaries - scenario baseline - 2026-09-03 10:12:59Z

== umbrella-dataconsumer-1-edc-controlplane ==
2026-09-03T07:42:40,511 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=4, updated=0, deleted=0, retained=0, unchanged=0, invalid=0, failed=0
2026-09-03T07:54:09,019 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:54:38,963 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:55:09,019 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:55:39,020 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:56:08,958 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:56:39,017 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:57:09,010 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:57:39,113 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:58:09,018 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:58:39,023 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:59:08,966 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:59:39,015 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:00:09,031 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:00:39,014 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:01:08,954 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:01:38,960 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:02:09,011 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:02:39,011 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:03:09,015 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:03:39,014 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:04:09,012 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:04:38,955 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:05:08,953 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:05:39,013 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:06:08,954 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:06:38,953 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:07:08,956 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:07:38,953 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:08:08,960 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:08:39,012 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:09:08,955 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:09:38,954 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:10:08,960 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:10:38,959 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:11:09,012 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:11:38,956 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:12:08,958 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:12:38,954 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0

== umbrella-dataprovider-edc-controlplane ==
2026-09-03T07:42:52,023 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=4, updated=0, deleted=0, retained=0, unchanged=0, invalid=0, failed=0
2026-09-03T07:43:20,723 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:43:50,721 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:44:20,726 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:44:50,728 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:45:20,718 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:45:50,722 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:46:20,715 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:46:50,636 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:47:20,635 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:47:50,635 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:48:20,638 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:48:50,638 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:49:20,635 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:49:50,636 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:50:20,821 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:50:50,720 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:51:20,717 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:51:50,717 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:52:20,718 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:52:50,647 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:53:20,645 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:53:50,642 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:54:20,717 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:54:50,716 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:55:20,719 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:55:50,722 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:56:20,642 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:56:50,717 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:57:20,647 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:57:50,720 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:58:20,815 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:58:50,640 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:59:20,645 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T07:59:50,645 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:00:20,659 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:00:50,644 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:01:20,723 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:01:50,639 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:02:20,642 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:02:50,640 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:03:20,642 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:03:50,641 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:04:20,717 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:04:50,642 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:05:20,725 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:05:50,636 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:06:20,715 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:06:50,715 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:07:20,649 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:07:50,715 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:08:20,643 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:08:50,640 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:09:20,641 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:09:50,717 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:10:20,642 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:10:50,643 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:11:20,715 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:11:50,646 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:12:20,716 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
2026-09-03T08:12:50,637 INFO  org.eclipse.edc.monitor.logger.Log4j2Monitor - Policy reconciliation completed: created=0, updated=0, deleted=0, retained=0, unchanged=4, invalid=0, failed=0
